Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","26","Brunei Darussalam","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2017","2017","Head","1121","","Official data"
"QCL","Crops and livestock products","26","Brunei Darussalam","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2018","2018","Head","1608","","Official data"
"QCL","Crops and livestock products","26","Brunei Darussalam","5320","Producing Animals/Slaughtered","1025","Skins, goat, fresh","2019","2019","Head","1768","","Official data"
"QCL","Crops and livestock products","26","Brunei Darussalam","5320","Producing Animals/Slaughtered","995","Skins, sheep, fresh","2015","2015","Head","1318","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5320","Producing Animals/Slaughtered","995","Skins, sheep, fresh","2016","2016","Head","1442","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5320","Producing Animals/Slaughtered","995","Skins, sheep, fresh","2017","2017","Head","1493","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5320","Producing Animals/Slaughtered","995","Skins, sheep, fresh","2018","2018","Head","1551","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5320","Producing Animals/Slaughtered","995","Skins, sheep, fresh","2019","2019","Head","1609","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","27","Bulgaria","5314","Prod Popultn","1183","Beeswax","2015","2015","No","588379","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5314","Prod Popultn","1183","Beeswax","2016","2016","No","747434","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5314","Prod Popultn","1183","Beeswax","2017","2017","No","754105","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5314","Prod Popultn","1183","Beeswax","2018","2018","No","765772","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5314","Prod Popultn","1183","Beeswax","2019","2019","No","783348","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5313","Laying","1062","Eggs, hen, in shell","2015","2015","1000 Head","5639","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5313","Laying","1062","Eggs, hen, in shell","2016","2016","1000 Head","5906","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5313","Laying","1062","Eggs, hen, in shell","2017","2017","1000 Head","6064","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5313","Laying","1062","Eggs, hen, in shell","2018","2018","1000 Head","5519","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5313","Laying","1062","Eggs, hen, in shell","2019","2019","1000 Head","5637","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5313","Laying","1091","Eggs, other bird, in shell","2015","2015","1000 Head","141","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5313","Laying","1091","Eggs, other bird, in shell","2016","2016","1000 Head","165","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5313","Laying","1091","Eggs, other bird, in shell","2017","2017","1000 Head","155","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","949","Fat, buffaloes","2015","2015","Head","842","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","949","Fat, buffaloes","2016","2016","Head","1219","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","949","Fat, buffaloes","2017","2017","Head","1893","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","869","Fat, cattle","2015","2015","Head","137271","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","869","Fat, cattle","2016","2016","Head","188655","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","869","Fat, cattle","2017","2017","Head","117417","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1019","Fat, goats","2015","2015","Head","173626","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5320","Producing Animals/Slaughtered","1019","Fat, goats","2016","2016","Head","174730","","Official data"
