Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1058","Meat, chicken","2016","2016","tonnes","24417","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1058","Meat, chicken","2017","2017","tonnes","27850","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1058","Meat, chicken","2018","2018","tonnes","29073","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1058","Meat, chicken","2019","2019","tonnes","28493","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1163","Meat, game","2015","2015","tonnes","7992","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1163","Meat, game","2016","2016","tonnes","8002","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1163","Meat, game","2017","2017","tonnes","8006","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1163","Meat, game","2018","2018","tonnes","8011","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1163","Meat, game","2019","2019","tonnes","8015","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1017","Meat, goat","2015","2015","tonnes","47794","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1017","Meat, goat","2016","2016","tonnes","45092","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1017","Meat, goat","2017","2017","tonnes","45752","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1017","Meat, goat","2018","2018","tonnes","46545","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","1017","Meat, goat","2019","2019","tonnes","47670","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","977","Meat, sheep","2015","2015","tonnes","107400","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","977","Meat, sheep","2016","2016","tonnes","107714","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","977","Meat, sheep","2017","2017","tonnes","112590","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5510","Production","977","Meat, sheep","2018","2018","tonnes","113473","Im","FAO data based on imputation methodology"
